tuning_context,student_t_df,inner_folds,validation_rows,volatile_or_gap_rows,overall_mae,reference_b7_overall_mae,overall_normalized_mae,volatile_or_gap_mae,reference_b7_volatile_or_gap_mae,volatile_or_gap_normalized_mae,tuning_score,inner_fold_contract_sha256,all_inner_folds_forward_only,selected
outer::train_leave_zone_out_GEO_NW,30.0,3,106,7,6.942566200677763,6.389255719083563,1.0866001465462651,3.20691755690033,3.3320006827332977,0.9624600539606253,1.0245301002534453,e744354724d3cbb677b358a39b5191d69524fb75ed392a9e874805ba62422b11,True,True
outer::train_leave_zone_out_GEO_SE,3.0,3,100,6,7.398730939422801,6.1664885496577915,1.1998288620568984,8.139417822694162,2.83975058001244,2.866243915921132,2.0330363889890153,4a4863f1a7d3b788c2814928b5ad121315819c3a822f7c0219afb32161e29d09,True,False
outer::train_leave_zone_out_GEO_SE,5.0,3,100,6,7.488038673461332,6.1664885496577915,1.214311615623916,8.669589952892649,2.83975058001244,3.052940639897561,2.1336261277607385,4a4863f1a7d3b788c2814928b5ad121315819c3a822f7c0219afb32161e29d09,True,False
outer::train_leave_zone_out_GEO_SE,10.0,3,100,6,7.223982423742907,6.1664885496577915,1.1714904463973748,6.177471730254536,2.83975058001244,2.1753571506366147,1.6734237985169949,4a4863f1a7d3b788c2814928b5ad121315819c3a822f7c0219afb32161e29d09,True,False
outer::train_leave_zone_out_GEO_SE,30.0,3,100,6,6.847314171716364,6.1664885496577915,1.1104073439163937,2.1422149938117276,2.83975058001244,0.7543673056675081,0.932387324791951,4a4863f1a7d3b788c2814928b5ad121315819c3a822f7c0219afb32161e29d09,True,True
outer::train_leave_zone_out_GEO_SW,3.0,3,107,8,3.6468415078659024,3.9240749924205507,0.9293506150901469,3.5257445732080988,3.2903201885943134,1.0715506002819633,1.000450607686055,40a9d3cf350172d9740c2b31a954ca5c628e8c7e5fff7bdab9816f6fc537e442,True,False
outer::train_leave_zone_out_GEO_SW,5.0,3,107,8,3.6531979805517065,3.9240749924205507,0.9309704803317852,3.5415253429518487,3.2903201885943134,1.0763467200633914,1.0036586001975882,40a9d3cf350172d9740c2b31a954ca5c628e8c7e5fff7bdab9816f6fc537e442,True,False
outer::train_leave_zone_out_GEO_SW,10.0,3,107,8,3.690976545656112,3.9240749924205507,0.9405978613521214,3.4830985183823606,3.2903201885943134,1.058589534980912,0.9995936981665168,40a9d3cf350172d9740c2b31a954ca5c628e8c7e5fff7bdab9816f6fc537e442,True,False
outer::train_leave_zone_out_GEO_SW,30.0,3,107,8,3.803705282637582,3.9240749924205507,0.969325328895226,3.379201403033252,3.2903201885943134,1.0270129377520885,0.9981691333236573,40a9d3cf350172d9740c2b31a954ca5c628e8c7e5fff7bdab9816f6fc537e442,True,True
final_spec::full_train,3.0,3,190,15,6.099326012265562,5.852619772317834,1.042153129631728,10.661430233284507,8.35140613743903,1.2766030124543613,1.1593780710430446,fb2c4a8960f7f52219511f6daf5f0885b2798c7010bbda987ab97170a549287c,True,False
final_spec::full_train,5.0,3,190,15,6.128971277383771,5.852619772317834,1.0472184279547845,10.925034503639248,8.35140613743903,1.3081670707718,1.1776927493632923,fb2c4a8960f7f52219511f6daf5f0885b2798c7010bbda987ab97170a549287c,True,False
final_spec::full_train,10.0,3,190,15,6.006488419916689,5.852619772317834,1.0262905593708025,9.575802687398374,8.35140613743903,1.146609628343953,1.0864500938573778,fb2c4a8960f7f52219511f6daf5f0885b2798c7010bbda987ab97170a549287c,True,False
final_spec::full_train,30.0,3,190,15,5.970382439055128,5.852619772317834,1.0201213595481287,8.411241112848789,8.35140613743903,1.0071646587921907,1.0136430091701598,fb2c4a8960f7f52219511f6daf5f0885b2798c7010bbda987ab97170a549287c,True,True
