old_row_id,new_row_id,row_kind,vn_ids,finding_id
GEO-0215,MGEO-0215,mining_geometry,EV-VN-S024-0032,DOCS_LEAKAGE-019
GEO-0216,MGEO-0216,mining_geometry,EV-VN-S024-0035,DOCS_LEAKAGE-019
GEO-0217,MGEO-0217,mining_geometry,EV-VN-S024-0036,DOCS_LEAKAGE-019
GEO-0218,MGEO-0218,mining_geometry,EV-VN-S024-0041,DOCS_LEAKAGE-019
GEO-0219,MGEO-0219,mining_geometry,EV-VN-S024-0314,DOCS_LEAKAGE-019
GEO-0220,MGEO-0220,mining_geometry,EV-VN-S024-0358,DOCS_LEAKAGE-019
GEO-0221,MGEO-0221,mining_geometry,EV-VN-S024-0364,DOCS_LEAKAGE-019
GEO-0222,MGEO-0222,mining_geometry,EV-VN-S024-0367,DOCS_LEAKAGE-019
GEO-0223,MGEO-0223,mining_geometry,EV-VN-S024-0373,DOCS_LEAKAGE-019
GEO-0224,MGEO-0224,mining_geometry,EV-VN-S024-0375,DOCS_LEAKAGE-019
GEO-0225,MGEO-0225,mining_geometry,EV-VN-S024-0379,DOCS_LEAKAGE-019
GEO-0226,MGEO-0226,mining_geometry,EV-VN-S024-0381,DOCS_LEAKAGE-019
GEO-0227,MGEO-0227,mining_geometry,EV-VN-S024-0423,DOCS_LEAKAGE-019
GEO-0228,MGEO-0228,mining_geometry,EV-VN-S024-0424,DOCS_LEAKAGE-019
GEO-0229,MGEO-0229,mining_geometry,EV-VN-S024-0429,DOCS_LEAKAGE-019
GEO-0230,MGEO-0230,mining_geometry,EV-VN-S025-0126,DOCS_LEAKAGE-019
GEO-0231,MGEO-0231,mining_geometry,EV-VN-S025-0127,DOCS_LEAKAGE-019
GEO-0232,MGEO-0232,mining_geometry,EV-VN-S025-0129,DOCS_LEAKAGE-019
GEO-0233,MGEO-0233,mining_geometry,EV-VN-S025-0130,DOCS_LEAKAGE-019
GEO-0234,MGEO-0234,mining_geometry,EV-VN-S026-0016,DOCS_LEAKAGE-019
GEO-0235,MGEO-0235,mining_geometry,EV-VN-S026-0018,DOCS_LEAKAGE-019
GEO-0236,MGEO-0236,mining_geometry,EV-VN-S026-0020,DOCS_LEAKAGE-019
GEO-0237,MGEO-0237,mining_geometry,EV-VN-S026-0022,DOCS_LEAKAGE-019
GEO-0238,MGEO-0238,mining_geometry,EV-VN-S026-0024,DOCS_LEAKAGE-019
GEO-0239,MGEO-0239,mining_geometry,EV-VN-S026-0026,DOCS_LEAKAGE-019
GEO-0240,MGEO-0240,mining_geometry,EV-VN-S026-0030,DOCS_LEAKAGE-019
GEO-0241,MGEO-0241,mining_geometry,EV-VN-S026-0031,DOCS_LEAKAGE-019
GEO-0242,MGEO-0242,mining_geometry,EV-VN-S026-0033,DOCS_LEAKAGE-019
GEO-0243,MGEO-0243,mining_geometry,EV-VN-S026-0034,DOCS_LEAKAGE-019
GEO-0244,MGEO-0244,mining_geometry,EV-VN-S026-0036,DOCS_LEAKAGE-019
GEO-0245,MGEO-0245,mining_geometry,EV-VN-S026-0037,DOCS_LEAKAGE-019
GEO-0246,MGEO-0246,mining_geometry,EV-VN-S026-0057,DOCS_LEAKAGE-019
GEO-0247,MGEO-0247,mining_geometry,EV-VN-S026-0067,DOCS_LEAKAGE-019
