point_id,profile_id,point_type,feature,value,unit,provenance,standard_uncertainty,donor_distance_m,source_cell_id,model_feature_allowed,source_reference_year
P-H02-W002,P-H02,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001435,True,2022
P-H02-W002,P-H02,WORK,fill_density,0.760330557823181,1,C/R,0.08,19.10972353,G050-001435,True,2022
P-H02-W002,P-H02,WORK,fault_distance_m,17.6263306782275,m,C/R,25,19.10972353,G050-001435,True,2022
P-H02-W002,P-H02,WORK,lithology,mixed_salts,category,D,,0,G050-001435,True,2022
P-H02-W002,P-H02,WORK,terrain_TRI_relative,,relative,C/R,0.1,19.10972353,G050-001435,True,2022
P-H02-W002,P-H02,WORK,terrain_roughness_relative,,relative,C/R,0.1,19.10972353,G050-001435,True,2022
P-H02-W003,P-H02,WORK,settlement_anchor_map_mm,255.251141552511,mm,D,33.82876712,0,G050-001577,False,2022
P-H02-W003,P-H02,WORK,kzt,0.591620111731844,1,D,0.032,0,G050-001577,True,2022
P-H02-W003,P-H02,WORK,ko,0.495530726256983,1,D,0.014,0,G050-001577,True,2022
P-H02-W003,P-H02,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001577,True,2022
P-H02-W003,P-H02,WORK,fill_density,0.900826454162598,1,C/R,0.08,7.945161402,G050-001577,True,2022
P-H02-W003,P-H02,WORK,fault_distance_m,6.48812938552813,m,C/R,25,7.945161402,G050-001577,True,2022
P-H02-W003,P-H02,WORK,lithology,mixed_salts,category,D,,0,G050-001577,True,2022
P-H02-W003,P-H02,WORK,terrain_TRI_relative,,relative,C/R,0.1,7.945161402,G050-001577,True,2022
P-H02-W003,P-H02,WORK,terrain_roughness_relative,,relative,C/R,0.1,7.945161402,G050-001577,True,2022
P-H02-W004,P-H02,WORK,settlement_anchor_map_mm,196.34703196347,mm,D,32.94520548,0,G050-001646,False,2022
P-H02-W004,P-H02,WORK,kzt,0.605027932960894,1,D,0.032,0,G050-001646,True,2022
P-H02-W004,P-H02,WORK,ko,0.515083798882682,1,D,0.014,0,G050-001646,True,2022
P-H02-W004,P-H02,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001646,True,2022
P-H02-W004,P-H02,WORK,fill_density,0.884297549724579,1,C/R,0.08,23.79921495,G050-001646,True,2022
P-H02-W004,P-H02,WORK,fault_distance_m,31.83749187333,m,C/R,25,23.79921495,G050-001646,True,2022
P-H02-W004,P-H02,WORK,lithology,mixed_salts,category,D,,0,G050-001646,True,2022
P-H02-W004,P-H02,WORK,terrain_TRI_relative,,relative,C/R,0.1,23.79921495,G050-001646,True,2022
P-H02-W004,P-H02,WORK,terrain_roughness_relative,,relative,C/R,0.1,23.79921495,G050-001646,True,2022
P-H02-W005,P-H02,WORK,settlement_anchor_map_mm,39.2694063926938,mm,D,30.5890411,0,G050-001816,False,2022
P-H02-W005,P-H02,WORK,kzt,0.672067039106145,1,D,0.032,0,G050-001816,True,2022
P-H02-W005,P-H02,WORK,ko,0.540502793296089,1,D,0.014,0,G050-001816,True,2022
P-H02-W005,P-H02,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001816,True,2022
P-H02-W005,P-H02,WORK,fill_density,0.892561972141266,1,C/R,0.08,12.96698532,G050-001816,True,2022
P-H02-W005,P-H02,WORK,fault_distance_m,146.814355649904,m,C/R,25,12.96698532,G050-001816,True,2022
P-H02-W005,P-H02,WORK,lithology,mixed_salts,category,D,,0,G050-001816,True,2022
P-H02-W005,P-H02,WORK,terrain_TRI_relative,,relative,C/R,0.1,12.96698532,G050-001816,True,2022
P-H02-W005,P-H02,WORK,terrain_roughness_relative,,relative,C/R,0.1,12.96698532,G050-001816,True,2022
P-H02-W006,P-H02,WORK,settlement_anchor_map_mm,314.155251141553,mm,D,34.71232877,0,G050-001880,False,2022
P-H02-W006,P-H02,WORK,kzt,0.756983240223464,1,D,0.032,0,G050-001880,True,2022
P-H02-W006,P-H02,WORK,ko,0.628491620111732,1,D,0.014,0,G050-001880,True,2022
P-H02-W006,P-H02,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001880,True,2022
P-H02-W006,P-H02,WORK,fill_density,0.909090936183929,1,C/R,0.08,7.802053324,G050-001880,True,2022
P-H02-W006,P-H02,WORK,fault_distance_m,185.139976908762,m,C/R,25,7.802053324,G050-001880,True,2022
P-H02-W006,P-H02,WORK,lithology,mixed_salts,category,D,,0,G050-001880,True,2022
