published_row_id,cell_id,distance_to_anchor_m,conditioned_settlement_mm
PUBROW-07,G050-006643,31.6829607202359,196.02286260271
PUBROW-07,G050-006644,61.9984677230023,201.536395024596
PUBROW-07,G050-006645,108.091674054944,226.973567558486
PUBROW-07,G050-006646,144.153219090599,312.852620121484
PUBROW-07,G050-006647,222.400352961273,245.424335475186
PUBROW-07,G050-006648,255.350367142874,240.938828536339
PUBROW-07,G050-006753,136.842204021896,274.935717070281
PUBROW-07,G050-006754,112.166860659823,298.173240363035
PUBROW-07,G050-006755,73.6301883080589,319.984268105044
PUBROW-07,G050-006756,57.1087088829747,337.278907279161
PUBROW-07,G050-006757,78.1114884654012,347.325999538309
PUBROW-07,G050-006758,118.073725401889,340.653765216661
PUBROW-07,G050-006759,151.7819001214,333.877182636998
PUBROW-07,G050-006760,229.647813249107,236.372545531674
PUBROW-07,G050-006866,172.308521871297,157.921471801502
PUBROW-07,G050-006867,192.893829894028,141.767887715824
PUBROW-07,G050-006973,218.900781313946,171.858976382806
PUBROW-07,G050-006974,204.008735430561,178.28218359801
PUBROW-07,G050-006975,198.644315629662,165.098502284582
PUBROW-07,G050-006976,201.127766307259,120.725576490143
PUBROW-07,G050-006977,203.409232410274,258.44531285099
PUBROW-07,G050-006978,217.044773108174,270.896621933047
PUBROW-07,G050-007067,234.114291809276,150.209193296132
PUBROW-07,G050-007068,220.253294416859,184.424375234347
PUBROW-07,G050-007069,215.29401687339,190.327266085297
PUBROW-07,G050-007070,217.587517907738,100.24
PUBROW-08,G050-004133,259.368436216598,215.098963131291
PUBROW-08,G050-004209,240.470240008257,234.546163945771
PUBROW-08,G050-004210,227.540963345065,236.258933347212
PUBROW-08,G050-004211,212.896430219016,227.609773616747
PUBROW-08,G050-004212,209.313309206077,218.726717797485
PUBROW-08,G050-004213,224.647571314926,203.915371964923
PUBROW-08,G050-004214,230.606982351488,192.177597145375
PUBROW-08,G050-004292,204.758677011367,243.031528121316
PUBROW-08,G050-004293,192.307885291684,244.706060639046
PUBROW-08,G050-004294,175.734340947017,231.095528686975
PUBROW-08,G050-004295,168.763388510821,220.523888228894
PUBROW-08,G050-004296,186.744482085875,196.162276172343
PUBROW-08,G050-004297,196.075331573267,202.001853448796
PUBROW-08,G050-004298,258.473549826739,149.580324707653
PUBROW-08,G050-004374,149.771504587291,257.861015120568
PUBROW-08,G050-004375,127.986160410852,262.693065912883
PUBROW-08,G050-004376,103.948768842034,254.610367476791
PUBROW-08,G050-004377,243.449830606891,146.119044022909
PUBROW-08,G050-004453,244.630262013038,273.778707493063
PUBROW-08,G050-004454,204.242747395163,269.058686827224
PUBROW-08,G050-004455,132.536547146923,259.477432227234
PUBROW-08,G050-004456,107.307455472582,261.08807650767
PUBROW-08,G050-004457,74.6498371087154,248.03406630718
PUBROW-08,G050-004458,41.7018882403237,229.357172227917
PUBROW-08,G050-004459,91.0392623188533,165.959647574128
PUBROW-08,G050-004460,124.87260860256,163.492541912967
PUBROW-08,G050-004461,152.698054047326,183.945729109459
PUBROW-08,G050-004462,230.244827539435,141.391
PUBROW-08,G050-004533,239.676636324862,276.900985267462
PUBROW-08,G050-004534,198.282689035016,278.45506150642
PUBROW-08,G050-004535,118.936690426582,256.238702659659
PUBROW-08,G050-004536,89.9716066323149,252.975877081716
PUBROW-08,G050-004537,40.5572434960762,225.853052087737
PUBROW-08,G050-004538,13.7959424964098,190.15452016702
PUBROW-08,G050-004539,83.1299335408821,175.270247350965
PUBROW-08,G050-004540,113.261722314312,186.040185536378
PUBROW-08,G050-004541,141.322830898848,170.712253662418
PUBROW-08,G050-004542,223.324483342055,152.683772895651
PUBROW-08,G050-004607,242.950385881562,275.342228346133
PUBROW-08,G050-004608,202.227655801467,280.004537690673
PUBROW-08,G050-004609,121.079488195081,264.292514061171
PUBROW-08,G050-004610,96.2759034752086,237.963643775378
PUBROW-08,G050-004611,56.7881149537466,216.918544101569
PUBROW-08,G050-004612,41.2517958610438,205.813675857513
PUBROW-08,G050-004613,72.5908316584156,194.17978374601
PUBROW-08,G050-004614,127.318220420234,181.823913634022
PUBROW-08,G050-004615,171.385428575645,160.950924493975
PUBROW-08,G050-004616,195.205061771864,155.575520880608
PUBROW-08,G050-004679,256.134515440617,283.09
PUBROW-08,G050-004680,210.130649834811,270.637027123369
PUBROW-08,G050-004681,178.170828238974,281.549491944467
PUBROW-08,G050-004682,121.387576858334,246.373516511117
PUBROW-08,G050-004683,99.0196445156206,232.825108676577
PUBROW-08,G050-004684,91.4050873857679,200.072381997229
PUBROW-08,G050-004685,110.354914753258,188.109216686724
PUBROW-08,G050-004686,143.020592922837,168.363405302252
PUBROW-08,G050-004687,184.404148543355,198.126151039364
PUBROW-08,G050-004688,207.191807721933,158.319401678004
PUBROW-08,G050-004758,236.082379689802,272.210336711463
PUBROW-08,G050-004759,208.366426664272,267.475220746073
PUBROW-08,G050-004760,159.025279944004,249.687873227499
PUBROW-08,G050-004761,146.235734346978,239.660511017241
PUBROW-08,G050-004762,140.909550567623,222.310433989283
PUBROW-08,G050-004763,146.692784611713,209.567299024591
PUBROW-08,G050-004764,165.620340019407,177.488968234003
PUBROW-08,G050-004765,201.408622136074,173.012777640793
PUBROW-08,G050-004766,219.804684518053,179.672518189796
PUBROW-08,G050-004840,241.887655391866,265.886530465603
PUBROW-08,G050-004841,189.078111195632,251.33509355673
PUBROW-08,G050-004842,180.014892685483,241.34974052526
PUBROW-08,G050-004843,170.008961669023,224.086710514933
PUBROW-08,G050-004844,236.101346600906,207.697443264753
PUBROW-08,G050-004845,253.516898636484,211.423820553537
PUBROW-08,G050-004925,259.446561540212,213.267542903042
